code,skills,skill_type
7119,Plumbing,specific_skills
7119,Construction,specific_skills
7121,Handling And Moving Objects,basic_skills
7121,Carpentry,specific_skills
7121,Construction,specific_skills
7122,Handling And Moving Objects,basic_skills
7122,Carpentry,specific_skills
7122,Construction,specific_skills
7123,Handling And Moving Objects,basic_skills
7123,Coordination,basic_skills
7123,Carpentry,specific_skills
7123,Construction,specific_skills
7124,Handling And Moving Objects,basic_skills
7124,Coordination,basic_skills
7124,Carpentry,specific_skills
7124,Construction,specific_skills
7124,Electrical Wiring,specific_skills
7125,Coordination,basic_skills
7125,Measurement,specific_skills
7125,Operation And Control,specific_skills
7125,Installation,specific_skills
7126,Coordination,basic_skills
7126,Carpentry,specific_skills
7126,Pipe Welding,specific_skills
7126,Plumbing,specific_skills
7126,Construction,specific_skills
7127,Coordination,basic_skills
7127,Handling And Moving Objects,basic_skills
7127,Electrical Wiring,specific_skills
7127,Troubleshooting,specific_skills
